team,matches,avg_excitement,exciting_matches,excitement_rate
Lucknow Super Giants,43,0.9473,43,100.0
Chennai Super Kings,237,0.9435,237,100.0
Gujarat Lions,30,0.9291,30,100.0
Royal Challengers Bengaluru,252,0.9227,251,99.6
Punjab Kings,246,0.9204,246,100.0
Gujarat Titans,45,0.9181,45,100.0
Mumbai Indians,261,0.9114,261,100.0
Delhi Capitals,250,0.9113,250,100.0
Rising Pune Supergiants,30,0.9091,30,100.0
Sunrisers Hyderabad,257,0.9089,257,100.0
Kolkata Knight Riders,251,0.9066,251,100.0
Rajasthan Royals,219,0.9029,218,99.5
Pune Warriors India,45,0.883,45,100.0
Kochi Tuskers Kerala,14,0.8756,14,100.0
